,Before,After
1246,dmny,dimananya 
1247,dng,dengan 
1248,dngar,dengar 
1249,dnger,dengar 
1250,dngerin,dengar 
1251,dngr,dengar 
1252,doang,saja 
1253,doank,saja 
1254,donlot,download 
1255,doyan,suka 
1256,dpan,depan 
1257,dpet,dapat 
1258,dpk,depok 
1259,dpkrkn,dipikirkan 
1260,dpn,depan 
1261,dpnrmh,depan rumah 
1262,dr,dari 
1263,drg,dokter gigi 
1264,drh,darah 
1265,drmh,di rumah 
1266,drpd,daripada 
1267,drumah,di rumah
1268,dsb,dan sebagainya
1269,dsblh,di sebelah
1270,dsini,disini 
1271,dsklh,di sekolah
1272,dsni,di sini
1273,dtgny,datangnya 
1274,dtmbh,ditambah 
1275,dtmpt,di tempat
1276,dtng,datang 
1277,duluw,dulu
1278,dy,dia 
1279,ea,ya
1280,eeq,feses 
1281,elo,kamu 
1282,emang,memang 
1283,emank,memang 
1284,emg,memang 
1285,engga,tidak 
1286,enk,enak 
1287,entar,nanti 
1288,ente,anda 
1289,eps,episode 
1290,eteb,bosan
1291,eug,saya
1292,faham,paham 
1293,fb,facebook 
1294,fav,favorit
1295,fave,favorit
1296,ga,tidak 
1297,gabisa,tidak bisa
1298,gaboleh,tidak boleh
1299,gabut,menganggur
1300,gada,tidak ada
1301,gaenak,tidak enak
1302,gajadi,tidak jadi
1303,gajelas,tidak jelas
1304,gak,tidak 
1305,gakuat,tidak kuat
1306,gakz,tidak
1307,galo,galau 
1308,gamasuk,tidak masuk
1309,gamau,tidak mau
1310,gapake,tidak pakai
1311,gapapa,tidak apa-apa
1312,gapernah,tidak pernah
1313,gapunya,tidak punya
1314,garem,garam 
1315,gasuka,tidak suka
1316,gatau,tidak tahu
1317,gataw,tidak tahu
1318,gatel,gatal 
1319,gausah,tidak usah
1320,gblk,goblok
1321,gbr,gambar 
1322,gdg,gudang 
1323,gembel,jelek 
1324,gengges,ganggu
1325,gi,lagi
1326,gilak,gila 
1327,gitu,begitu 
1328,gituan,begitu 
1329,gituh,begitu 
1330,gituin,itu 
1331,gk,tidak 
1332,gmbr,gambar 
1333,gmn,bagaimana 
1334,gmna,bagaimana 
1335,gmpg,gampang 
1336,gmpng,gampang 
1337,gni,begini 
1338,gnti,ganti 
1339,gprnh,tidak pernah
1340,gr2,gara-gara 
1341,gratisan,gratis 
1342,gtu,begitu 
1343,gx,tidak
1344,hadeh,aduh 
1345,hapal,hafal
1346,haqq,hakiki 
1347,hargain,hargai 
1348,harini,hari ini
1349,hbd,happy birthday
1350,hbis,habis 
1351,hbng,hubungi 
1352,hbs,habis 
1353,hbskn,habiskan 
1354,hlg,hilang 
1355,hlmn,halaman 
1356,hqq,hakiki 
1357,hrg,harga 
1358,hrgny,harganya 
1359,hri,hari 
1360,hrsny,harusnya 
1361,hti,hati 
1362,hums,rumah
1363,huum,iya
1364,idiiot,idiot 
1365,idup,hidup
1366,ily,saya cinta kamu 
1367,inget,ingat 
1368,ingetin,ingatkan 
1369,ingt,ingat 
1370,istrht,istirahat 
1371,itumah,itu 
1372,ituu,itu 
1373,iy,iya 
1374,iyach,iya
1375,iyain,mengiyakan 
1376,iyap,iya
1377,iyapz,iya
1378,iyoo,iya 
1379,iyup,iya
1380,iyupz,iya
1381,jadull,jadul 
1382,jamber,jam berapa
1383,jancoeg,jancuk 
1384,jatoh,jatuh 
1385,jawabanya,jawabannya 
1386,jdny,jadinya 
1387,jdnya,jadinya 
1388,jdwl,jadwal 
1389,jgan,jangan 
1390,jglh,jagalah 
1391,jgnjgn,jangan-jangan 
1392,jing,anjing 
1393,jink,anjing 
1394,jk,jika 
1395,jkrt,jakarta 
1396,jl,jalan 
1397,jm,jam 
1398,jmbtn,jembatan 
1399,jml,jumlah 
1400,jmlh,jumlah 
1401,jmpt,jemput 
1402,jmt,jumat 
1403,jng,jangan 
1404,jngan,jangan 
1405,jngn,jangan 
1406,jpn,jepang 
1407,jrg,jarang 
1408,jrng,jarang 
1409,jwbn,jawaban 
1410,jwbny,jawabannya 
1411,kalee,kali 
1412,kaleyan,kalian
1413,kalu,kalau
1414,kamsud,maksud 
1415,kaos/mug/jaket, 
1416,karoke,karaoke 
1417,kasian,kasihan 
1418,kayak,mirip 
1419,kbnykn,kebanyakan 
1420,kbtln,kebetulan 
1421,kbykn,kebanyakan 
1422,kdg,kadang 
1423,kdng,kadang 
1424,kdpn,ke depan
1425,kebawa,terbawa 
1426,kecakepan,kecakapan 
1427,kelaperan,kelaparan 
1428,kelar,selesai 
1429,keles,kali
1430,kenapah,kenapa
1431,kenape,kenapa 
1432,kenaps,kenapa
1433,kenapz,kenapa
1434,kenceng,kencang 
1435,kepngn,ingin 
1436,kerikil,kerikil 
1437,kesampean,kesampaian 
1438,kesel,kesal 
1439,ketawa,tertawa 
1440,keujanan,kehujanan 
1441,keyen,keren
1442,kga,tidak 
1443,kgak,tidak 
1444,kgk,tidak 
1445,khabar,kabar 
1446,khanz,kan
1447,khsny,khususnya 
1448,khwtr,khawatir 
1449,kirimin,kirimkan 
1450,kite,kita 
1451,klau,kalau 
1452,klh,kalah 
1453,kli,kali 
1454,klmpk,kelompok 
1455,klp,kelompok 
1456,kls,kelas 
1457,klu,kalau 
1458,kluar,keluar 
1459,kmaren,kemarin 
1460,kmi,kami 
1461,kmn,kemana 
1462,kmna,kemana 
1463,kmpret,kampret 
1464,kmr,kamar 
1465,kmren,kemarin 
1466,kmrin,kemarin 
1467,kmu,kamu 
1468,kna,kena 
1469,knapa,kenapa 
1470,kngen,kangen 
1471,kntr,kantor 
1472,knyng,kenyang 
1473,konsen,konsentrasi 
1474,kosan,kost 
1475,kowe,kamu 
1476,kpala,kepala 
1477,kpan,kapan 
1478,kpgn,ingin 
1479,kpngn,ingin 
1480,krg,kurang 
1481,krikil,kerikil 
1482,krja,kerja 
1483,krmh,ke rumah
1484,krna,karena 
1485,krng,kurang 
1486,krupuk,kerupuk 
1487,ksh,kasih 
1488,ksian,kasihan 
1489,ksih,kasih 
1490,ksmptn,kesempatan 
1491,ksn,kesana 
1492,kta,kita 
1493,ktdrn,ketiduran 
1494,ktemu,ketemu 
1495,ktmpt,ke tempat
1496,ktnya,katanya 
1497,kuy,ayo
1498,kyak,seperti 
1499,kyaknya,sepertinya 
1500,kyanya,sepertinya 
1501,kyknya,sepertinya 
1502,kyny,sepertinya 
1503,kzl,kesal 
1504,laen,lain 
1505,laff,cinta
1506,lagian,lagi 
1507,laper,lapar 
1508,lb,lembar 
1509,lbh,lebih 
1510,lbih,lebih 
1511,lelaahh,lelah 
1512,lemes,lemas 
1513,lgs,langsung 
1514,lgsng,langsung 
1515,lgsung,langsung 
1516,liatin,lihat 
1517,lm,lama 
1518,lngsg,langsung 
1519,lngsng,langsung 
1520,lngsung,langsung 
1521,lnjt,lanjut 
1522,lnsg,langsung 
1523,lnsng,langsung 
1524,lov,cinta
1525,love,cinta
1526,lpngn,lapangan 
1527,lpr,lapar 
1528,lsg,langsung 
1529,lun,belum
1530,luv,cinta
1531,lvl,level 
1532,maaci,terima kasih
1533,maap,maaf
1534,mager,malas bergerak
1535,makaci,terima kasih
1536,makana,karena itu
1537,makasi,terima kasih
1538,makasihhh,terima kasih
1539,make,pakai 
1540,makn,makan 
1541,malem2,malam-malam 
1542,malming,malam minggu
1543,mamah,mama 
1544,mamam,makan 
1545,mampet,mampat 
1546,mane,mana 
1547,manggil,panggil 
1548,mano,mana 
1549,masakin,masakan 
1550,mateng,matang 
1551,maw,mau
1552,mcm,macam 
1553,mct,macet 
1554,mdg,lebih baik
1555,mdgn,baikan 
1556,mdh,mudah 
1557,mdpt,mendapat 
1558,melulu,selalu 
1559,mendingan,lebih baik
1560,menyempurnakan, 
1561,merhatiin,memperhatikan 
1562,mesen,pesan 
1563,mhs,mahasiswa 
1564,mhsw,mahasiswa 
1565,miapa,demi apa
1566,miapah,demi apa
1567,mikirin,memikirkan 
1568,milih,pilih 
1569,minjem,pinjam 
1570,misal'a,misalnya
1571,mk,maka 
1572,mka,maka 
1573,mkan,makan 
1574,mkanan,makanan 
1575,mkanya,makanya 
1576,mkn,makan 
1577,mknan,makanan 
1578,mkny,maka itu
1579,mksdny,maksudnya 
1580,mksdnya,maksudnya 
1581,mksdq,maksudku 
1582,mksh,terima kasih
1583,mksih,terima kasih
1584,mlm,malam 
1585,mmg,memang 
1586,mn,mana 
1587,mna,mana 
1588,mndg,lebih baik
1589,mndgn,lebih baik
1590,mndgr,mendengar 
1591,mndi,mandi 
1592,mnding,lebih baik
1593,mndptkn,mendapatkan 
1594,mng,menang 
1595,mnrt,menurut 
1596,mnsempurnakan, 
1597,mnta,minta 
1598,mntp,mantap 
1599,mnum,minum 
1600,mnyakitiku,menyakitiku 
1601,mnyngkn,menyenangkan 
1602,moga,semoga 
1603,mreka,mereka 
1604,mrh,marah 
1605,mrk,mereka 
1606,ms,mas 
1607,msg,masing 
1608,msih,masih 
1609,mski,meski 
1610,mskipun,meskipun 
1611,mskn,masakan 
1612,msl,misal 
1613,msti,harus 
1614,muke,muka 
1615,mu'uv,maaf
1616,nabung,tabung 
1617,naek,naik 
1618,nahan,tahan 
1619,nak,anak
1620,nambah,tambah 
1621,napas,nafas 
1622,nape,kenapa 
1623,ndax,tidak
1624,ndk,tidak 
1625,negri,negeri 
1626,nelen,telan 
1627,nemenin,menemani 
1628,nemu,temu 
1629,nengok,tengok 
1630,ngabungin,menggabungkan
1631,ngadain,mengadakan 
1632,ngajak,mengajak 
1633,ngajar,ajar 
1634,ngak,tidak 
1635,nganter,antar 
1636,nganterin,antar 
1637,ngarep,mengharap 
1638,ngarepinnya,mengharapkannya 
1639,ngasi,kasih 
1640,ngehadepin,menghadapi 
1641,ngeliatin,melihat 
1642,ngeluh,keluh 
1643,ngerasa,merasa 
1644,ngerasain,merasakan 
1645,ngerjain,mengerjakan 
1646,ngerokok,merokok 
1647,ngetik,ketik 
1648,nggax,tidak
1649,nggesek,menggesek
1650,nggk,tidak 
1651,nggosok,menggosok
1652,ngidam,idam 
1653,ngikutin,ikuti 
1654,ngilangin,menghilangkan 
1655,ngingetin,mengingatkan 
1656,ngjk,mengajak 
1657,ngk,tidak 
1658,ngmbl,mengambil 
1659,ngmpl,berkumpul 
1660,ngmps,ke kampus
1661,ngntk,mengantuk 
1662,ngntr,ke kantor
1663,ngobatin,obati 
1664,ngobrol,bicara 
1665,ngrasain,merasakan 
1666,ngundurin,mengundurkan 
1667,ngunyah,kunyah 
1668,nich,ini
1669,ninggalin,tinggalkan 
1670,nmbh,tambah 
1671,nmny,namanya 
1672,nmpk,nampak 
1673,nnti,nanti 
1674,nnton,nonton 
1675,nolak,tolak 
1676,nraktir,traktir 
1677,ntah,entah 
1678,ntap,mantap
1679,nti,nanti 
1680,nton,nonton 
1681,ntr,nanti 
1682,ntu,itu 
1683,nungguin,tunggu 
1684,nyakiti,menyakiti 
1685,nyakitin,menyakiti 
1686,nyalain,nyalakan 
1687,nyampe,sampai 
1688,nyangka,sangka 
1689,nyantai,santai 
1690,nyebelin,menyebalkan 
1691,nyeremin,menyeramkan 
1692,nyesek,sesak 
1693,nyesel,menyesal 
1694,nyetel,setel 
1695,nyiksa,menyiksa 
1696,nyoba,coba 
1697,nyobain,coba 
1698,nyuci,cuci 
1699,nyukur,cukur 
1700,nyuruh,suruh 
1701,nyusul,susul 
1702,oc,oke
1703,oce,oke
1704,ohh,oh
1705,okedech,oke
1706,okedeh,oke
1707,okeh,baik 
1708,okz,oke
1709,org,orang 
1710,orng,orang 
1711,ouch,oh
1712,ouh,oh
1713,owh,oh
1714,pait,pahit 
1715,pakek,pakai 
1716,pantesan,pantas 
1717,paz,pas
1718,pcr,pacar 
1719,pcrn,pacaran 
1720,pcrny,pacarnya 
1721,pdahal,padahal 
1722,pdhal,padahal 
1723,pdhl,padahal 
1724,pedes,pedas 
1725,pegi,pergi 
1726,pengen,ingin
1727,penghianat,pengkhianat 
1728,pengin,ingin 
1729,pesen,pesan 
1730,pg,pergi 
1731,pgen,ingin 
1732,pgn,ingin 
1733,pilem,film 
1734,pingin,ingin 
1735,pinjem,pinjam 
1736,pinter,pintar 
1737,pkai,pakai 
1738,pke,pakai 
1739,plis,tolong 
1740,pljrn,pelajaran 
1741,plng,pulang 
1742,pmpuan,perempuan 
1743,pndh,pindah 
1744,pngen,ingin 
1745,pngn,ingin 
1746,pnjng,panjang 
1747,pnting,penting 
1748,pntng,penting 
1749,pny,punya 
1750,pnya,punya 
1751,pokonya,pokoknya 
1752,praktek,praktik 
1753,prasaan,perasaan 
1754,prgi,pergi 
1755,prmhn,perumahan 
1756,prmptn,perempatan 
1757,prnah,pernah 
1758,prthnkn,pertahankan 
1759,psg,pasang 
1760,psng,pasang 
1761,psr,pasar 
1762,ptg,penting 
1763,punye,punya 
1764,puter,putar 
1765,puterin,putar 
1766,pzt,pasti
1767,q,saya
1768,qaqa,kakak
1769,qq,kakak
1770,qta,kita 
1771,rada,agak 
1772,rame2,ramai-ramai 
1773,rasane,rasanya 
1774,rb,ribu 
1775,rmbt,rambut 
1776,rmhq,rumahku 
1777,rsk,rusak 
1778,sabeb,bebas
1779,sabi,bisa
1780,saje,saja 
1781,salfok,salah fokus
1782,saltum,salah kostum
1783,sambel,sambal 
1784,samo,sama 
1785,sans,santai 
1786,sape,siapa 
1787,sateny,satenya 
1788,sbg,sebagai 
1789,sbl,sebelah 
1790,sblh,sebelah 
1791,sblhny,sebelahnya 
1792,sblm,sebelum 
1793,sblmny,sebelumnya 
1794,sbnr,sebenarnya 
1795,sbnrnya,sebenarnya 
1796,sbnt,sebentar 
1797,sbntr,sebentar 
1798,sbr,sabar 
1799,sbtr,sebentar 
1800,sdah,sudah 
1801,sdg,sedang 
1802,sdh,sudah 
1803,sdng,sedang 
1804,sdngkn,sedangkan 
1805,sebel,kesal 
1806,sebenernya,sebenarnya 
1807,sekola,sekolah 
1808,selaw,santai
1809,selow,sebentar 
1810,semalem,semalam 
1811,sembuhin,sembuhkan 
1812,senen,senin 
1813,seneng,senang 
1814,serem,seram 
1815,sesek,sesak
1816,seterah,terserah 
1817,sgala,segala 
1818,sgini,segini 
1819,sgitu,segitu 
1820,shap,siap
1821,shaps,siap
1822,shbt,sahabat 
1823,shiet,tahi 
1824,shit,tahi 
1825,sihat,sehat 
1826,sja,saja 
1827,skali,sekali 
1828,skit,sakit 
1829,skola,sekolah 
1830,skolah,sekolah 
1831,skr,sekarang 
1832,skrang,sekarang 
1833,skrg,sekarang 
1834,skrng,sekarang 
1835,slah,salah 
1836,slalu,selalu 
1837,slamat,selamat 
1838,slg,saling 
1839,slh,salah 
1840,slhkn,salahkan 
1841,sllu,selalu 
1842,slm,salam 
1843,slmt,selamat 
1844,sls,selesai 
1845,sm,sama 
1846,smangat,semangat 
1847,smbg,sambung 
1848,smbh,sembuh 
1849,smbhyg,sembahyang 
1850,smbil,sambil 
1851,smbl,sambil 
1852,smbng,sambung 
1853,smbrg,sembarang 
1854,smbuh,sembuh 
1855,smcm,semacam 
1856,smg,semoga 
1857,smga,semoga 
1858,smgt,semangat 
1859,smlm,semalam 
1860,smlmn,semalaman 
1861,smngt,semangat 
1862,smntr,sementara 
1863,smoga,semoga 
1864,smpai,sampai 
1865,smpe,sampai 
1866,smua,semua 
1867,smuanya,semuanya 
1868,sndri,sendiri 
1869,sngt,sangat 
1870,snyum,senyum 
1871,soale,soalnya 
1872,sodara,saudara 
1873,sopo,siapa 
1874,sorang,seorang 
1875,sperti,seperti 
1876,spnjng,sepanjang 
1877,sprt,seperti 
1878,sprtny,sepertinya 
1879,sptny,sepertinya 
1880,srg,sering 
1881,sseorg,seseorang 
1882,stgh,setengah 
1883,stngh,setengah 
1884,sudh,sudah 
1885,sya,saya 
1886,syantik,cantik
1887,sygku,sayangku 
1888,sygny,sayangnya 
1889,syipp,sip
1890,syng,sayang 
1891,tai,tahi 
1892,taunya,tahunya 
1893,tdny,tadinya 
1894,tdr,tidur 
1895,tdur,tidur 
1896,telor,telur 
1897,telpon,telepon 
1898,temenin,temani 
1899,tercyduk,terciduk
1900,teriakk,teriak 
1901,teros,terus 
1902,tetep,tetap 
1903,tgannya,tangannya 
1904,tgh,tengah 
1905,tgn,tangan 
1906,tgs,tugas 
1907,thdp,terhadap 
1908,thks,terima kasih
1909,thnx,terima kasih
1910,tida,tidak 
1911,tkut,tsayat 
1912,tlg,tolong 
1913,tlh,telah 
1914,tlng,tolong 
1915,tamvan,tampan
1916,tmen,teman 
1917,tmn,teman 
1918,tmpat,tempat 
1919,tmsk,termasuk 
1920,tnp,tanpa 
1921,tnpa,tanpa 
1922,tny,ternyata 
1923,tnya,tanya 
1924,tnyt,ternyata 
1925,trdpt,terdapat 
1926,trgntng,tergantung 
1927,trimz,terima kasih
1928,trjadi,terjadi 
1929,trkdng,terkadang 
1930,trkhr,terakhir 
1931,trmksh,terima kasih
1932,trmsk,termasuk 
1933,trnsfr,transfer 
1934,trnyata,ternyata 
1935,trnyt,ternyata 
1936,trsrh,terserah 
1937,trus,terus 
1938,tsadeest,sadis
1939,tsb,tersebut 
1940,tsbt,tersebut 
1941,ttep,tetap 
1942,ttp,tetap 
1943,tu,itu 
1944,tukeran,tukar 
1945,tumben,tidak biasa
1946,ubat,obat 
1947,uda,sudah 
1948,udd,sudah
1949,udeh,sudah 
1950,udh,sudah 
1951,uga,juga
1952,ujan2an,hujan-hujanan 
1953,untk,untuk 
1954,von,telepon
1955,w,saya
1956,wa,saya
1957,wad,buat
1958,waduh,aduh 
1959,wanjir,anjir 
1960,wht,apa 
1961,wktu,waktu 
1962,yaini,ya ini
1963,yank,sayang 
1964,yaudh,ya sudah
1965,yaw,ya
1966,yawda,ya sudah
1967,yela,yailah 
1968,yelah,yailah 
1969,yng,yang 
1970,yodah,ya sudah
1971,yoi,iya
1972,yups,ya
1973,yupz,ya
1974,ywdh,ya sudah
1975,anakjakartaasikasik,anak jakarta asyik asyik
1976,pakcikdahtua,pak cik sudah tua
1977,pakcikmudalagi,pak cik muda lagi
1978,t3tapjokowi,tetap jokowi
1979,3x,tiga kali
1980,aamiinn,amin
1981,aamin,amin
1982,aammiin,amin
1983,abisin,habiskan
1984,acau,kacau
1985,achok,ahok
1986,adl,adalah
1987,ado,ada
1988,aduhh,aduh
1989,afdol,afdal
1990,agamaataualqur,agama alquran
1991,agm,agama
1992,agma,agama
1993,ahahaha,haha
1994,ahehehehe,hehe
1995,ahir,akhir
1996,ahirnya,akhirnya
1997,ahk,ahok
1998,ahlamdulillah,alhamdulillah
1999,ahli2,para ahli
2000,ahlusunnah,ahlus sunah
2001,ahmaddani,ahmad dhani
2002,aho,ahok
2003,ahoax,ahok
2004,ahoaxx,ahok
2005,ahog,ahok
2006,ahokataudjarot,ahok djarot
2007,ahokbebanijokowi,ahok beban jokowi
2008,ahokbtp,ahok basuki tjahaja purnama
2009,ahokditolakwarga,ahok ditolak warga
2010,ahokdjarot,ahok djarot
2011,ahokdjarotterbukti,ahok djarot terbukti
2012,ahokers,ahoker
2013,ahokfighter,ahok pejuang
2014,ahokforpresident,ahok for presiden
2015,ahokisthebest,ahok terbaik
2016,ahokjarot,ahok djarot
2017,ahokk,ahok
2018,ahokmasukbui,ahok masuk bui
2019,ahokmeskipun,ahok meskipun
2020,ahokpositifjadi,ahok positif jadi
2021,ahoksatuputaran,ahok satu putaran
2022,ahoksemangat,ahok semangat
2023,ahoktersangka,ahok tersangka
2024,ahokterzhalimi,ahok terzalimi
2025,ahoktetap,ahok tetap
2026,ahoktidaksendiri,ahok tidak sendiri
2027,ahokUSER,ahok
2028,ahook,ahok
2029,ahox,ahok
2030,airmata,air mata
2031,ajaa,saja
2032,ajg,anjing
2033,ajib,hebat
2034,akalakalan,akal akalan
2035,akalakaln,akal akalan
2036,akankena,akan kena
2037,akherat,akhirat
2038,akhi,saudara
2039,akhirny,akhirnya
2040,akhirnyamush,akhirnya musuh
2041,akirnya,akhirnya
2042,akn,akan
2043,aksiaksi1120aksi112020aksi1120,aksi aksi
2044,akumuslim,aku muslim
2045,akuwa,aqua
2046,alahuakbar,allahu akbar
2047,alallohu,alallahu
2048,alhamdulilah,alhamdulillah
2049,alhamdulillaah,alhamdulillah
2050,alhamdullilah,alhamdulillah
2051,alhmdllh,alhamdulillah
2052,allahuakbar,allahu akbar
2053,allahughayatuna,allahu ghayatuna
2054,alloh,allah
2055,allohu,allahu
2056,alqur,alquran
2057,amajing,luar biasa
2058,amcaman,ancaman
2059,amiin,amin
2060,aminn,amin
2061,ampe,sampai
2062,amriki,amerika
2063,ana,saya
2064,anbiarkekinian,biar kekinian
2065,ancen,memang
2066,ancuur,hancur
2067,aneh2,aneh aneh
2068,angktpn,angkatpun
2069,anjg,anjing
2070,anomaly,anomali
2071,antikorupsi,anti korupsi
2072,antum,kalian
2073,anugrah,anugerah
2074,apa2,apa apa
2075,apaapaan,apa apaan
2076,apaapalah,apa sajalah
2077,apakabar,apa kabar
2078,apalg,apa lagi
2079,apamaunya,apa maunya
2080,apane,apanya
2081,apaoun,apapun
2082,apenista,penista
2083,apk,apakah
2084,aplgi,apa lagi
2085,aquh,aku
2086,artinx,artinya
2087,aseng,asing
2088,asew,anjing
2089,asik,asyik
2090,ask,tanya
2091,asline,aslinya
2092,assalamualaikumalhamdulillahhasil,assalamualaykum alhamdulillah hasil
2093,assalamuallaikum,assalamualaykum
2094,asu,anjing
2095,asw,anjing
2096,asyek,asyik
2097,atauatau05atauatau0atauatau0,atau
2098,atauatauatau,atau
2099,atauatauatau201atauatau201atauatauatau201atauatau,atau
2100,atauatauatauatau,atau
2101,atauatauatauatauatauatauatauatauatauatau,atau
2102,atauem,atau
2103,atauhr,atau
2104,ataus,atau
2105,ati,hati
2106,atribut2,atribut atribut
2107,awkeren,keren
2108,awutawutan,awut awutan
2109,aya,ada
2110,ayoo,ayo
2111,ayosavepakahok,ayo lindungi pak ahok
2112,aza,saja
2113,azhan,azan
2114,babeh,ayah
2115,badboy,bad boy
2116,badjingan,bajingan
2117,bagaimnpun,bagaimana
2118,bagi2,bagi bagi
2119,bagimane,bagaimana
2120,bahwasannya,bahwasanya
2121,balaikota,balai kota
2122,balikin,kembalikan
2123,baliq,balig
2124,bandarq,bandarku
2125,banding2in,membanding bandingkan
2126,banga,bangsa
2127,banged,banget
2128,bangen,banget
2129,bangettt,banget
2130,bangke,bangkai
2131,bangsag,bangsat
2132,bangst,bangsat
2133,bantuk,bentuk
2134,banun,bangun
2135,banyak2,perbanyak
2136,bapake,ayahnya
2137,baper,bawa perasaan
2138,baryw,sabar ya
2139,basukibtp,basuki tjahaja purnama
2140,basukigameover,basuki kalah
2141,bat,banget
2142,bauu,bau
2143,bawak,bawa
2144,bayangin,bayangkan
2145,bayaranatausuruhan,bayaran atau suruhan
2146,bbrapa,beberapa
2147,bda,beda
2148,bedoa,berdoa
2149,bege,bego
2150,bejad,bejat
2151,bekingin,lindungi
2152,belaislambelaislambelaislam,bela islam
2153,belaquran,bela alquran
2154,benar2,benar benar
2155,berdo,berdoa
2156,berfikir,berpikir
2157,bergengam,bergenggam
2158,bergoncang,berguncang
2159,berindak,bertindak
2160,beritadan,berita dan
2161,beritain,memberitakan
2162,beritany,beritanya
2163,beritaterkini,berita kini
2164,berkacaberkacanya,berkaca kaca
2165,berrti,berarti
2166,bersyukrlah,bersyukurlah
2167,beruk2,beruk beruk
2168,betulin,betulkan
2169,bgerak,bergerak
2170,bgi,bagi
2171,bgmna,bagaimana
2172,bgst,bangsat
2173,bhinekaan,bhineka
2174,bhinneka,bhineka
2175,bhkan,bahkan
2176,bhong,bohong
2177,bhwa,bahwa
2178,biarin,biarkan
2179,biarpn,biarpun
2180,bisenye,bisanya
2181,bistu,habis itu
2182,bkap,ayah
2183,bkna,bukannya
2184,bkp,ayah
2185,blakan,blak
2186,blingsatanya,belingsatan
2187,blon,belum
2188,bloon,belum
2189,blusukan,blusuk
2190,bngsa,bangsa
2191,bodo,bodoh
2192,bokaps,ayah
2193,bokapz,ayah
2194,boskuh,bosku
2195,boten,tidak
2196,bozen,bosan
2197,bozn,bosan
2198,bp,bapak
2199,bpak,bapak
2200,brantas,berantas
2201,bravoo,bravo
2202,breake,istirahat
2203,breaking,istirahat
2204,brengsek,berengsek
2205,brharap,berharap
2206,brikut,berikut
2207,bringas,beringas
2208,brisik,berisik
2209,brjuang,berjuang
2210,brkeliaran,berkeliaran
2211,brkpntingan,berkepentingan
2212,brkumandang,berkumandang
2213,brpedoman,berpedoman
2214,brsal,berasal
2215,brsama,bersama
2216,brsamamu,bersamamu
2217,brtahan,bertahan
2218,bruh,buruh
2219,bryaw,sabar ya
2220,bryw,sabar ya
2221,bte,bosan
2222,btull,betul
2223,buatapa,buat apa
2224,bukabukaan,buka bukaan
2225,bukane,bukannya
2226,bukn,bukan
2227,buktiin,buktikan
2228,buktikan,buktikan
2229,buktikqn,buktikan
2230,bul,kibul
2231,bulshit,kibul
2232,buryam,bubur ayam
2233,buzer,buzzer
2234,buzzerahoaxsebarkanhoax,buzzer ahok sebar hoaks
2235,buzzerbuzzernya,buzzer buzzernya
2236,bwaanx,bawaan
2237,byak,banyak
2238,bzen,bosan
2239,bzn,bosan
2240,cagubnya,calon gubernurnya
2241,cahya,cahaya
2242,caiyo,semangat
2243,cantek,cantik
2244,caturx,catur
2245,cayo,semangat
2246,cecunguk2nya,cecunguk cecunguknya
2247,ceheheheh,hehe
2248,centuryataumuniratauhambalang,century munir atau hambalang
2249,cepat2,cepat cepat
2250,ceplas,ceplos
2251,ceppat,cepat
2252,ciamik,indah
2253,ciap,siap
2254,ciayou,semangat
2255,cie,wah
2256,ciee,wah
2257,cino,cina
2258,citizens,warga kota
2259,ciyan,kasihan
2260,cling,bersih
2261,col,keren
2262,compares,membandingkan
2263,congrats,selamat
2264,congratulation,selamat
2265,corruptions,korupsi
2266,corruptors,koruptor
2267,crying,menangis
2268,cs,rekan
2269,cukupsatuputaran,cukup satu putaran
2270,da,dan
2271,dalah,adalah
2272,dann,dan
2273,daripaddatidda,dari pada tidak
2274,datangin,mendatangi
2275,daut,daud
2276,ddpn,di depan
2277,dduk,duduk
2278,democrazy,demokrasi gila
2279,demodemo,demo demo
2280,demodemonov,demo november
2281,dengn,dengan
2282,depa,depan
2283,des,desember
2284,dewadewa,dewa dewa
2285,dhewan,dewan
2286,diaa,dia
2287,diajakin,diajak
2288,dianutny,dianutnya
2289,diapain,diapakan
2290,dibelakanghari,di belakang hari
2291,dibiarin,dibiarkan
2292,dibobongin,dibodohi
2293,dibodohin,dibodohi
2294,dibohongin,dibohongi
2295,dibohonginataudibodohin,dibohongi atau dibodohi
2296,diboongin,dibohongi
2297,dibuatx,dibuatnya
2298,dibudigunawankan,di budi gunawankan
2299,dicuekin,dicueki
2300,didiemin,didiamkan
2301,didlam,di dalam
2302,didzalimi,dizalimi
2303,die,dia
2304,diem2,diam diam
2305,digembosin,digembosi
2306,diginiin,dibeginikan
2307,dijatohin,dijatuhi
